study,bullet_dir,filename,bullet_code
Clones 224 2,Set 3/Barrel 8/Bullet 2,Clones 224 2 - Set 3 - Barrel 8 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.8.2
Clones 224 2,Set 3/Barrel 9/Bullet 1,Clones 224 2 - Set 3 - Barrel 9 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.9.1
Clones 224 2,Set 3/Barrel 9/Bullet 2,Clones 224 2 - Set 3 - Barrel 9 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.9.2
Clones 224 2,Set 3/Unknown/Bullet F,Clones 224 2 - Set 3 - Barrel Unknown - Bullet F - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.U.F
Clones 224 2,Set 3/Unknown/Bullet G,Clones 224 2 - Set 3 - Barrel Unknown - Bullet G - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.U.G
Clones 224 2,Set 3/Unknown/Bullet H,Clones 224 2 - Set 3 - Barrel Unknown - Bullet H - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.U.H
Clones 224 2,Set 3/Unknown/Bullet I,Clones 224 2 - Set 3 - Barrel Unknown - Bullet I - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.U.I
Clones 224 2,Set 3/Unknown/Bullet J,Clones 224 2 - Set 3 - Barrel Unknown - Bullet J - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.U.J
Clones 224 2,Set 3/Unknown/Bullet N,Clones 224 2 - Set 3 - Barrel Unknown - Bullet N - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.U.N
Clones 224 2,Set 3/Unknown/Bullet P,Clones 224 2 - Set 3 - Barrel Unknown - Bullet P - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.U.P
Clones 224 2,Set 3/Unknown/Bullet Q,Clones 224 2 - Set 3 - Barrel Unknown - Bullet Q - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.U.Q
Clones 224 2,Set 3/Unknown/Bullet R,Clones 224 2 - Set 3 - Barrel Unknown - Bullet R - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.U.R
Clones 224 2,Set 3/Unknown/Bullet S,Clones 224 2 - Set 3 - Barrel Unknown - Bullet S - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.U.S
Clones 224 2,Set 3/Unknown/Bullet T,Clones 224 2 - Set 3 - Barrel Unknown - Bullet T - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.U.T
Clones 224 2,Set 3/Unknown/Bullet U,Clones 224 2 - Set 3 - Barrel Unknown - Bullet U - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.U.U
Clones 224 2,Set 3/Unknown/Bullet V,Clones 224 2 - Set 3 - Barrel Unknown - Bullet V - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.U.V
Clones 224 2,Set 3/Unknown/Bullet W,Clones 224 2 - Set 3 - Barrel Unknown - Bullet W - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.U.W
Clones 224 2,Set 3/Unknown/Bullet Z,Clones 224 2 - Set 3 - Barrel Unknown - Bullet Z - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.U.Z
